Domaine	Endpoint/source	Chemin JSON exact	Type	Exemple réel	Disponible avant match ?	Disponible en direct ?	Disponible après match ?	Historique accessible ?	Fiabilité/complétude	Déjà stocké dans le projet ?	Déjà utilisé par le moteur ?
Compositions et formations	/fixtures/lineups?fixture=1379344	parameters.fixture	str	1379344	non	oui	oui	oui	bonne	non	non
Compositions et formations	/fixtures/lineups?fixture=1379344	response[].coach.id	int	4	non	oui	oui	oui	bonne	non	non
Compositions et formations	/fixtures/lineups?fixture=1379344	response[].coach.name	str	Pep Guardiola	non	oui	oui	oui	bonne	non	non
Compositions et formations	/fixtures/lineups?fixture=1379344	response[].coach.photo	str	https://media.api-sports.io/football/coachs/4.png	non	oui	oui	oui	bonne	non	non
Compositions et formations	/fixtures/lineups?fixture=1379344	response[].formation	str	4-2-2-2	non	oui	oui	oui	bonne	non	non
Compositions et formations	/fixtures/lineups?fixture=1379344	response[].startXI[].player.grid	str	1:1	non	oui	oui	oui	bonne	non	non
Compositions et formations	/fixtures/lineups?fixture=1379344	response[].startXI[].player.id	int	162489	non	oui	oui	oui	bonne	non	non
Compositions et formations	/fixtures/lineups?fixture=1379344	response[].startXI[].player.name	str	J. Trafford	non	oui	oui	oui	bonne	non	non
Compositions et formations	/fixtures/lineups?fixture=1379344	response[].startXI[].player.number	int	1	non	oui	oui	oui	bonne	non	non
Compositions et formations	/fixtures/lineups?fixture=1379344	response[].startXI[].player.pos	str	G	non	oui	oui	oui	bonne	non	non
Compositions et formations	/fixtures/lineups?fixture=1379344	response[].substitutes[].player.grid	null		non	oui	oui	oui	bonne	non	non
Compositions et formations	/fixtures/lineups?fixture=1379344	response[].substitutes[].player.id	int	19012	non	oui	oui	oui	bonne	non	non
Compositions et formations	/fixtures/lineups?fixture=1379344	response[].substitutes[].player.name	str	M. Bettinelli	non	oui	oui	oui	bonne	non	non
Compositions et formations	/fixtures/lineups?fixture=1379344	response[].substitutes[].player.number	int	13	non	oui	oui	oui	bonne	non	non
Compositions et formations	/fixtures/lineups?fixture=1379344	response[].substitutes[].player.pos	str	G	non	oui	oui	oui	bonne	non	non
Compositions et formations	/fixtures/lineups?fixture=1379344	response[].team.colors.goalkeeper.border	str	008b48	non	oui	oui	oui	bonne	non	non
Compositions et formations	/fixtures/lineups?fixture=1379344	response[].team.colors.goalkeeper.number	str	feb139	non	oui	oui	oui	bonne	non	non
Compositions et formations	/fixtures/lineups?fixture=1379344	response[].team.colors.goalkeeper.primary	str	008b48	non	oui	oui	oui	bonne	non	non
Compositions et formations	/fixtures/lineups?fixture=1379344	response[].team.colors.player.border	str	abd1f5	non	oui	oui	oui	bonne	non	non
Compositions et formations	/fixtures/lineups?fixture=1379344	response[].team.colors.player.number	str	000000	non	oui	oui	oui	bonne	non	non
Compositions et formations	/fixtures/lineups?fixture=1379344	response[].team.colors.player.primary	str	abd1f5	non	oui	oui	oui	bonne	non	non
Compositions et formations	/fixtures/lineups?fixture=1379344	response[].team.id	int	50	non	oui	oui	oui	bonne	non	non
Compositions et formations	/fixtures/lineups?fixture=1379344	response[].team.logo	str	https://media.api-sports.io/football/teams/50.png	non	oui	oui	oui	bonne	non	non
Compositions et formations	/fixtures/lineups?fixture=1379344	response[].team.name	str	Manchester City	non	oui	oui	oui	bonne	non	non
Compositions et formations	/fixtures/lineups?fixture=1379344	results	int	2	non	oui	oui	oui	bonne	non	non
Statistiques joueurs du match	/fixtures/players?fixture=1379344	errors	array	[]	non	oui	oui	oui	bonne	non	non
Statistiques joueurs du match	/fixtures/players?fixture=1379344	get	str	fixtures/players	non	oui	oui	oui	bonne	non	non
Statistiques joueurs du match	/fixtures/players?fixture=1379344	paging.current	int	1	non	oui	oui	oui	bonne	non	non
Statistiques joueurs du match	/fixtures/players?fixture=1379344	paging.total	int	1	non	oui	oui	oui	bonne	non	non
Statistiques joueurs du match	/fixtures/players?fixture=1379344	parameters.fixture	str	1379344	non	oui	oui	oui	bonne	non	non
Statistiques joueurs du match	/fixtures/players?fixture=1379344	response[].players[].player.id	int	162489	non	oui	oui	oui	bonne	non	non
Statistiques joueurs du match	/fixtures/players?fixture=1379344	response[].players[].player.name	str	James Trafford	non	oui	oui	oui	bonne	non	non
Statistiques joueurs du match	/fixtures/players?fixture=1379344	response[].players[].player.photo	str	https://media.api-sports.io/football/players/162489.png	non	oui	oui	oui	bonne	non	non
Statistiques joueurs du match	/fixtures/players?fixture=1379344	response[].players[].statistics[].cards.red	int	0	non	oui	oui	oui	bonne	non	non
Statistiques joueurs du match	/fixtures/players?fixture=1379344	response[].players[].statistics[].cards.yellow	int	0	non	oui	oui	oui	bonne	non	non
Statistiques joueurs du match	/fixtures/players?fixture=1379344	response[].players[].statistics[].dribbles.attempts	null		non	oui	oui	oui	bonne	non	non
Statistiques joueurs du match	/fixtures/players?fixture=1379344	response[].players[].statistics[].dribbles.past	null		non	oui	oui	oui	bonne	non	non
Statistiques joueurs du match	/fixtures/players?fixture=1379344	response[].players[].statistics[].dribbles.success	null		non	oui	oui	oui	bonne	non	non
Statistiques joueurs du match	/fixtures/players?fixture=1379344	response[].players[].statistics[].duels.total	null		non	oui	oui	oui	bonne	non	non
Statistiques joueurs du match	/fixtures/players?fixture=1379344	response[].players[].statistics[].duels.won	null		non	oui	oui	oui	bonne	non	non
Statistiques joueurs du match	/fixtures/players?fixture=1379344	response[].players[].statistics[].fouls.committed	null		non	oui	oui	oui	bonne	non	non
Statistiques joueurs du match	/fixtures/players?fixture=1379344	response[].players[].statistics[].fouls.drawn	null		non	oui	oui	oui	bonne	non	non
Statistiques joueurs du match	/fixtures/players?fixture=1379344	response[].players[].statistics[].games.captain	bool	False	non	oui	oui	oui	bonne	non	non
Statistiques joueurs du match	/fixtures/players?fixture=1379344	response[].players[].statistics[].games.minutes	int	90	non	oui	oui	oui	bonne	non	non
Statistiques joueurs du match	/fixtures/players?fixture=1379344	response[].players[].statistics[].games.number	int	1	non	oui	oui	oui	bonne	non	non
Statistiques joueurs du match	/fixtures/players?fixture=1379344	response[].players[].statistics[].games.position	str	G	non	oui	oui	oui	bonne	non	non
Statistiques joueurs du match	/fixtures/players?fixture=1379344	response[].players[].statistics[].games.rating	str	6.3	non	oui	oui	oui	bonne	non	non
Statistiques joueurs du match	/fixtures/players?fixture=1379344	response[].players[].statistics[].games.substitute	bool	False	non	oui	oui	oui	bonne	non	non
